"Reference","Qty","Value"
"C1,C3","2","1uF"
"C2,C20,C21,C23,C25","5","100n"
"C4,C6,C9,C13","4","1uf"
"C5","1","22n"
"C7","1","100pf"
"C8","1","47pf"
"C10,C22","2","47nf"
"C11","1","22nf"
"C12,C15","2","2n2"
"C14,C18,C19","3","47uf"
"C16","1","100uf"
"C17","1","10nf"
"C24","1","15nf"
"D1","1","LED"
"D2,D3","2","1N4148DO35-7"
"D4","1","1N5817"
"Q1","1","2N3904"
"R1,R6,R7,R11","4","22k"
"R2,R3,R4,R5,R16,R18,R20,R23,R25,R27,R28","11","10k"
"R8","1","100"
"R9,R10,R22","3","1k"
"R12","1","180k"
"R13","1","12k"
"R14","1","1m"
"R15","1","360k"
"R17,R24","2","20k"
"R19","1","5k1"
"R21","1","33r"
"R26","1","2k"
"R29","1","2k2"
"RV1","1","50k"
"RV2","1","500k"
"RV3,RV4,RV5,RV6","4","50k B"
"SW1,SW2","2","SW_DPDT_x2"
"U1","1","4069"
"U2","1","4046"
"U3","1","TL072"
"U4","1","L7805"
"U5","1","PT2399"
